eventDate,paddockId,value,paddockSize
31/10/2014,876,1999,5.326136969
31/10/2014,875,2685,2.297550985
31/10/2014,884,1509,3.042695608
31/10/2014,886,2087,5.030044973
31/10/2014,887,2031,5.679840426
31/10/2014,913,1877,6.458700545
31/10/2014,921,2076,5.148090268
31/10/2014,923,1643,3.129891734
31/10/2014,933,1738,3.463323135
31/10/2014,932,2320,3.226488473
31/10/2014,931,1982,3.373327961
31/10/2014,934,1627,3.058029825
31/10/2014,935,2410,2.975802209
31/10/2014,936,2642,3.294614693
31/10/2014,937,1851,5.194722556
31/10/2014,938,2396,5.944417265
31/10/2014,939,2030,5.291838734
31/10/2014,903,1701,4.541210638
31/10/2014,924,2082,2.124841665
31/10/2014,925,2369,4.647761062
31/10/2014,926,1570,5.07119798
31/10/2014,927,2131,6.982018381
31/10/2014,883,1668,1.581501563
31/10/2014,873,1439,3.896162752
31/10/2014,863,2179,3.725488777
31/10/2014,862,1377,2.52104187
31/10/2014,852,2090,3.344493897
31/10/2014,889,2519,3.555629809
31/10/2014,890,2092,2.918525691
31/10/2014,919,1748,2.9301987
31/10/2014,868,2390,2.125117523
31/10/2014,944,1471,10.92204744
31/10/2014,922,1872,3.445599554
31/10/2014,928,2002,3.145816446
31/10/2014,929,1992,2.972386725
31/10/2014,930,1865,2.841997011
31/10/2014,860,2489,7.023859853
26/11/2014,874,2309,2.441244515
26/11/2014,875,3000,2.297550985
26/11/2014,876,2444,5.326136969
26/11/2014,878,2071,2.163398011
26/11/2014,883,1647,1.581501563
26/11/2014,884,1997,3.042695608
26/11/2014,885,2024,3.667713163
26/11/2014,886,2495,5.030044973
26/11/2014,888,2085,2.431555744
26/11/2014,889,2364,3.555629809
26/11/2014,890,1907,2.918525691
26/11/2014,891,1995,3.058411991
26/11/2014,892,2338,2.923051995
26/11/2014,893,2057,4.73814061
26/11/2014,897,1913,5.240167843
26/11/2014,904,1618,3.729966835
26/11/2014,907,1766,4.230977739
26/11/2014,909,1596,3.398476422
26/11/2014,910,1570,3.483488476
26/11/2014,912,1524,3.80418638
26/11/2014,913,2784,6.458700545
26/11/2014,916,1754,2.469693385
26/11/2014,917,1733,2.292311486
26/11/2014,918,2239,1.3796371
26/11/2014,919,2055,2.9301987
26/11/2014,921,2147,5.148090268
26/11/2014,853,1680,3.998670166
26/11/2014,855,1878,4.494255067
26/11/2014,862,1673,2.52104187
26/11/2014,863,2100,3.725488777
31/12/2014,856,3665,2.497542403
31/12/2014,855,2454,4.494255067
31/12/2014,862,1721,2.52104187
31/12/2014,863,3682,3.725488777
31/12/2014,920,2632,2.754501266
31/12/2014,921,2119,5.148090268
31/12/2014,923,1898,3.129891734
31/12/2014,912,1744,3.80418638
31/12/2014,913,3900,6.458700545
31/12/2014,915,4176,4.100257383
31/12/2014,916,2267,2.469693385
31/12/2014,903,1906,4.541210638
31/12/2014,888,2447,2.431555744
31/12/2014,889,2242,3.555629809
31/12/2014,890,2262,2.918525691
31/12/2014,891,2245,3.058411991
31/12/2014,892,3508,2.923051995
31/12/2014,893,2288,4.73814061
31/12/2014,883,1689,1.581501563
31/12/2014,884,1934,3.042695608
31/12/2014,885,2537,3.667713163
31/12/2014,886,2600,5.030044973
31/12/2014,875,2258,2.297550985
31/12/2014,876,2929,5.326136969
31/12/2014,878,2358,2.163398011
31/12/2014,881,3577,3.308539222
31/12/2014,865,2100,2.24654384
31/12/2014,868,2392,2.125117523
31/12/2014,874,2774,2.441244515
31/12/2014,909,1549,3.398476422
31/12/2014,910,1692,3.483488476
31/12/2014,880,3928,2.215764453
31/12/2014,860,3536,7.023859853
31/12/2014,854,3665,0.75227456
1/02/2015,874,2842,2.441244515
1/02/2015,940,2282,2.374920961
1/02/2015,941,2097,8.838684959
1/02/2015,865,2490,2.24654384
1/02/2015,876,2600,5.326136969
1/02/2015,875,2105,2.297550985
1/02/2015,884,1945,3.042695608
1/02/2015,886,2563,5.030044973
1/02/2015,887,2439,5.679840426
1/02/2015,893,2086,4.73814061
1/02/2015,885,1668,3.667713163
1/02/2015,878,2231,2.163398011
1/02/2015,879,1724,2.710477511
1/02/2015,877,1715,2.508964169
1/02/2015,882,1908,4.026138175
1/02/2015,872,1805,1.107588235
1/02/2015,881,2112,3.308539222
1/02/2015,880,2243,2.215764453
1/02/2015,888,2131,2.431555744
1/02/2015,891,2042,3.058411991
1/02/2015,892,2149,2.923051995
1/02/2015,920,2006,2.754501266
1/02/2015,900,1734,8.22600469
1/02/2015,897,2359,5.240167843
1/02/2015,853,2523,3.998670166
1/02/2015,904,2112,3.729966835
1/02/2015,856,2265,2.497542403
1/02/2015,855,2082,4.494255067
1/02/2015,916,2188,2.469693385
1/02/2015,915,1682,4.100257383
1/02/2015,910,1400,3.483488476
1/02/2015,913,1893,6.458700545
1/02/2015,921,2615,5.148090268
1/02/2015,923,2234,3.129891734
1/02/2015,933,1916,3.463323135
1/02/2015,932,2182,3.226488473
1/02/2015,931,2494,3.373327961
1/02/2015,935,2124,2.975802209
1/02/2015,936,2812,3.294614693
1/02/2015,937,1806,5.194722556
1/02/2015,938,2233,5.944417265
1/02/2015,939,2380,5.291838734
1/02/2015,903,1810,4.541210638
1/02/2015,924,1757,2.124841665
1/02/2015,925,2840,4.647761062
1/02/2015,926,2132,5.07119798
1/02/2015,863,1908,3.725488777
1/02/2015,862,2063,2.52104187
1/02/2015,852,2226,3.344493897
1/02/2015,889,2028,3.555629809
1/02/2015,890,2293,2.918525691
1/02/2015,868,2000,2.125117523
1/02/2015,944,1605,10.92204744
1/02/2015,928,2161,3.145816446
1/02/2015,929,2075,2.972386725
1/02/2015,930,2048,2.841997011
1/02/2015,860,2377,7.023859853
27/02/2015,860,2240,7.023859853
27/02/2015,930,2810,2.841997011
27/02/2015,929,2212,2.972386725
27/02/2015,928,2042,3.145816446
